Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
30;Casa Calvet;Arquitectura;Antoni Gaudí i Cornet;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Calvet.jpg;;;;;;2.173055555 41.390833333;;Bé d'interès cultural;;;;Barcelona;http://www.wikidata.org/entity/Q1046405
31;Castell dels Tres Dragons;Arquitectura;Lluís Domènech i Montaner;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Barcellona%20palazzo.jpg;;;;;;2.18338611 41.38806944;;Bé cultural d'interès local;;;;Barcelona;http://www.wikidata.org/entity/Q1048705
32;Casa Antoni Barraquer;Arquitectura;Manuel Joaquim Raspall i Mayol;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Raspall-garriga-barraquer-0327.jpg;;;;;;2.28778 41.6831;;Bé d'interès cultural;;;;la Garriga;http://www.wikidata.org/entity/Q11680569
33;Casa Armet;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Armet%20P1110481.JPG;;;;;;2.084444 41.466944;;;;;;Sant Cugat del Vallès;http://www.wikidata.org/entity/Q11680570
34;Farmàcia Bolós;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Antiga%20farm%C3%A0cia%20Novellas.jpg;;;;;;2.162278 41.391667;;Bé cultural d'interès local;;;;Barcelona;http://www.wikidata.org/entity/Q11681784
35;Hemp Museum Gallery;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Hemp%20Museum%20Gallery.jpg;;;;;;2.18027778 41.38083333;;;;;;Barcelona;http://www.wikidata.org/entity/Q11682430
36;Fonda Espanya;Arquitectura;Lluís Domènech i Montaner;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Raval%20-%20Fonda%20Espanya.JPG;;;;;;2.1728 41.3799;;Bé cultural d'interès local;;;;Barcelona;http://www.wikidata.org/entity/Q11682616
37;Sala Muncunill;Arquitectura;Lluís Muncunill i Parellada;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Sala%20Muncunill%20%28Terrassa%29.JPG;;;;;;2.01047 41.564;;Bé cultural d'interès local;;;;Terrassa;http://www.wikidata.org/entity/Q11703475
38;Teatre Metropol (Tarragona;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Jujol-Tarragona-Metropol-9120.jpg;;;;;;1.25347 41.1148;;Bé cultural d'interès local;;;;Tarragona;http://www.wikidata.org/entity/Q11704268
39;Alqueria Cloelia;Arquitectura;Manuel Joaquim Raspall i Mayol;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Raspall-cardedeu-alqueriacloelia-5613.JPG;;;;;;2.36140278 41.63661944;;Bé cultural d'interès local;;;;Cardedeu;http://www.wikidata.org/entity/Q11905128
40;Antic escorxador de Manresa;Arquitectura;Ignasi Oms i Ponsa;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Antic%20Escorxador%20i%20Centre%20Tecnol%C3%B2gic%20de%20Manresa.JPG;;;;;;1.82371111 41.7354;;;;;;Manresa;http://www.wikidata.org/entity/Q11905734
41;Asil Surís;Arquitectura;General Guitart i Lostaló;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/062%20Asil%20Sur%C3%ADs%2C%20c.%20Sant%20Bonaventura.jpg;;;;;;3.0275 41.7872;;Bé cultural d'interès local;;;;Sant Feliu de Guíxols;http://www.wikidata.org/entity/Q11906894
42;Ateneu Agrícola;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/L%27Ateneu%20%28Sant%20Sadurn%C3%AD%20d%27Anoia%29%20-%201.jpg;;;;;;1.78417 41.4231;;Bé cultural d'interès local;;;;Sant Sadurní d'Anoia;http://www.wikidata.org/entity/Q11907106
43;Ateneu Canetenc;Arquitectura;Lluís Domènech i Montaner;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/DiM-Canet-Ateneu-6488.JPG;;;;;;2.58167 41.5881;;;;;;Canet de Mar;http://www.wikidata.org/entity/Q11907108
44;Ca l'Artigas;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Ca%20l%27Artigas%20de%20Vilanova%20i%20la%20Geltr%C3%BA.JPG;;;;Carrer de la Llibertat, 37;;1.727559984 41.221661856;;Bé cultural d'interès local;;;;Vilanova i la Geltrú;http://www.wikidata.org/entity/Q11910333
45;Ca l'Eco;Arquitectura;Joan Amigó i Barriga;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20miquel%20badia.jpg;;;;;;2.249586 41.448114;;Bé cultural d'interès local;;;;Badalona;http://www.wikidata.org/entity/Q11910337
46;Ca n'Aragó;Arquitectura;Rafael Masó i Valentí;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Ca%20n%27Arag%C3%B3.jpg;;;;;;2.66288 41.86203;;Bé cultural d'interès local;;;;Santa Coloma de Cervelló;http://www.wikidata.org/entity/Q11910376
47;Cal Boronat;Arquitectura;;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/016%20Can%20Boronat.jpg;;;;;;1.325322 41.175482;;;;;;Tarragonès;http://www.wikidata.org/entity/Q11910531
48;Cal Xicorrei;Arquitectura;Manuel Joaquim Raspall i Mayol;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/028%20Portal%20dels%20jardins%20de%20Can%20Pratmars%C3%B3%2C%20al%20Passeig%20%28Centelles%29.JPG;;;;;;2.21901 41.798317;;;;;;Centelles;http://www.wikidata.org/entity/Q11910819
49;Can Bartomeu Carbonell;Arquitectura;Ignasi Mas i Morell;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Sitges%20-%20Casa%20Bartomeu%20Carbonell%202.jpg;;;;Plaça Cap de la Vila, 2;;1.809586 41.236622;;;;;;Sitges;http://www.wikidata.org/entity/Q11911505
50;Can Busquets;Arquitectura;Aureo Bis Mas de Xaxars;;;;;;;;;;;;2.245386 41.454106;;Bé cultural d'interès local;;;;Badalona;http://www.wikidata.org/entity/Q11911536
51;Can Gener;Arquitectura;Ubald Iranzo i Eiras;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Can%20Gener%20de%20Vilanova%20i%20la%20Geltr%C3%BA.JPG;;;;Rambla Principal, 104;;1.725899 41.221966;;Bé cultural d'interès local;;;;Vilanova i la Geltrú;http://www.wikidata.org/entity/Q11911640
