Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink;;;;;;;;;;
14880;Un altra;Cartells;Domènec Soler Gili;1789;113;745;Museu d'Art de Sabadell;1912;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.153333333 41.36833333;;;;Paper;;;http://www.wikidata.org/entity/Q23952350;;;;;;;;;;
14927;XABEYO;Cartells;Domènec Soler Gili;1791;1115;755;Museu d'Art de Sabadell;1912;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;Llenç;;;http://www.wikidata.org/entity/Q23952351;;;;;;;;;;
14566;MCMXII / Projecte de cartell per l'any 1912;Cartells;Anonimat;1781;130;90;Museu d'Art de Sabadell;1912;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;(Llenç, Pintura);;;http://www.wikidata.org/entity/Q23952352;;;;;;;;;;
14229;Cartell de l'Exposició Universal de París de l'any 1889;Cartells;Anonimat;1945;603;902;Museu d'Art de Sabadell;1889;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;Cartró ondulat;;;http://www.wikidata.org/entity/Q23955316;;;;;;;;;;
14232;Cartell del tren de Zuric. Horaris i plànol;Cartells;Anonimat;1947;935;642;Museu d'Art de Sabadell;1892;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;Cartró ondulat;;;http://www.wikidata.org/entity/Q23955335;;;;;;;;;;
14225;Cartell d'horaris de tren i tarifes;Cartells;;1944;965;642;Museu d'Art de Sabadell;1894;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;Cartró ondulat;;;http://www.wikidata.org/entity/Q23955336;;;;;;;;;;
14227;Cartell d'horaris de vaixell entre Lucerna i Fluelen;Cartells;Anonimat;1948;893;617;Museu d'Art de Sabadell;1896;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;Cartró ondulat;;;http://www.wikidata.org/entity/Q23955339;;;;;;;;;;
14228;Cartell d'horaris de vaixell entre Zurich i diverses poblacions;Cartells;Anonimat;1943;92;599;Museu d'Art de Sabadell;1896;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;Cartró ondulat;;;http://www.wikidata.org/entity/Q23955340;;;;;;;;;;
14226;Cartell d'horaris de tren i tarifes;Cartells;;1946;965;642;Museu d'Art de Sabadell;1896;;;Museu d'Art de Sabadell;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;Cartró ondulat;;;http://www.wikidata.org/entity/Q23955342;;;;;;;;;;
14223;Cartell anunciador del llibre Fulls de la vida de Santiago Rusiñol;Cartells;Santiago Rusiñol i Prats;32.647-18;102;725;Cau Ferrat;1898;http://commons.wikimedia.org/wiki/Special:FilePath/Rusi%C3%B1ol%20i%20Utrillo%20-%20fulls%20de%20la%20vida.jpg;;Cau Ferrat;Cau Ferrat;;;1.812777778 41.23500000;;;;Litografia;;;http://www.wikidata.org/entity/Q24049055;;;;;;;;;;
14224;Cartell anunciador del llibre Fulls de la vida de Santiago Rusiñol;Cartells;Miquel Utrillo i Morlius;32.647-18;102;725;Cau Ferrat;1898;http://commons.wikimedia.org/wiki/Special:FilePath/Rusi%C3%B1ol%20i%20Utrillo%20-%20fulls%20de%20la%20vida.jpg;;Cau Ferrat;Cau Ferrat;;;1.812777778 41.23500000;;;;Litografia;;;http://www.wikidata.org/entity/Q24049055;;;;;;;;;;
14221;Cartell  Teatro Artístico Interior de Maurice Maeterlinck;Cartells;Santiago Rusiñol i Prats;30.41;845;572;Cau Ferrat;1898;http://commons.wikimedia.org/wiki/Special:FilePath/Rusi%C3%B1ol%20-%20Cartell%20Maeterlinck%20interior.jpg;;Cau Ferrat;Cau Ferrat;;;1.812777778 41.23500000;;;;Litografia;;;http://www.wikidata.org/entity/Q24049250;;;;;;;;;;
14350;Exposición de Blondas y Otros Encajes en Arenys de Munt. Año 1906;Cartells;;378;715;1050;Museu d'Arenys de Mar;1906;;;Museu d'Arenys de Mar;Museu d'Arenys de Mar;;;2.153333333 41.36833333;;;;(Litografia, Cartolina);;;http://www.wikidata.org/entity/Q26756817;;;;;;;;;;
14222;Cartell 3ª Exposició;Cartells;Alexandre de Riquer i Ynglada;294;;;;1895;;;Museu del Modernisme Català;;;;2.163375999 41.38888777;;;;(Cromolitografia, Paper);;;http://www.wikidata.org/entity/Q27037608;;;;;;;;;;
14230;Cartell de la revista Pèl i Ploma;Cartells;Ramon Casas i Carbó;2225;;;Museu Abelló;1890;http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A8l%20i%20ploma.%20Portada%20revista.jpg;;Museu Abelló;Museu Abelló;;;2.216189299 41.53562100;;;;(Cromolitografia, Paper);;;http://www.wikidata.org/entity/Q27038144;;;;;;;;;;
14231;Cartell de la revista Pèl i Ploma;Cartells;Ramon Casas i Carbó;2225;;;Museu Abelló;1900;http://commons.wikimedia.org/wiki/Special:FilePath/P%C3%A8l%20i%20ploma.%20Portada%20revista.jpg;;Museu Abelló;Museu Abelló;;;2.216189299 41.53562100;;;;(Cromolitografia, Paper);;;http://www.wikidata.org/entity/Q27038144;;;;;;;;;;
14234;Cartell publicitari. J. M. Boada. Transportes y objetos artísticos;Cartells;Ramon Casas i Carbó;2224;;;Museu Abelló;1898;http://commons.wikimedia.org/wiki/Special:FilePath/Cartell%20J%20M%20Boada%20-%20Ramon%20Casas%20Museu%20Abell%C3%B3%202224.png;;Museu Abelló;Museu Abelló;;;2.216189299 41.53562100;;;;(Cromolitografia, Paper, Impressió);;;http://www.wikidata.org/entity/Q27038735;;;;;;;;;;
14305;Divan Japonais;Cartells;Henri de Toulouse-Lautrec;3654;;;Museu Abelló;1893;;;Museu Abelló;Museu Abelló;;;2.216189299 41.53562100;;;;(Cromolitografia, Paper);;;http://www.wikidata.org/entity/Q27038736;;;;;;;;;;
14754;Sense títol (inv 9367);Cartells;;9367;;;Institut Municipal de Museus de Reus;1900;;;;Institut Municipal de Museus de Reus;;;1.110426999 41.15641779;;;;(Paper, Tinta);;;http://www.wikidata.org/entity/Q27102864;;;;;;;;;;
14422;Gran Teatre del Liceu;Cartells;Adrià Gual i Queralt;000351-C;64;88;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27505825;;;;;;;;;;
14477;Helm Cacao;Cartells;Henri Privat-Livemont;000087-C;1545;665;Secció de Cartells (MNAC);1899;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Litografia;;;http://www.wikidata.org/entity/Q27505831;;;;;;;;;;
14508;José Ribas mobiliario Barcelona;Cartells;Ramon Casas i Carbó;000361-C;744;48;Secció de Cartells (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Cartells (MNAC);;;2.153333333 41.36833333;;;;Paper;;;http://www.wikidata.org/entity/Q27505940;;;;;;;;;;
