Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
2370;Q24237382;Dibuix;Léon Bakst;;68;49;Q18244079;1922-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Bakst%20Costume%20design%20for%20L%27Oiseau%20de%20feu%201922.jpg;;;Q18244079;;;;;;;;;;http://www.wikidata.org/entity/Q24237382
2371;Absis d'església (Museu d'Art Modern de Tarragona, inv 425);Dibuix;Josep Sancho Piqué;425;17;26;Museu d'Art Modern de Tarragona;1870-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24568392
2372;Acadèmia;Dibuix;Dionís Baixeras i Verdaguer;2035;29;465;Museu d'Art de Sabadell;1882-01-01T00:00:00Z;;;;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;;;;http://www.wikidata.org/entity/Q23951766
2373;Acadèmia;Dibuix;Josep Domènech Samaranch;2177;69;495;Museu d'Art de Sabadell;1897-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Josep%20Dom%C3%A8nech%20Samaranch%20Acad%C3%A8mia%202177.jpg;;;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;;;;http://www.wikidata.org/entity/Q23952020
2374;Acadèmia;Dibuix;Francesc Gimeno i Arasa;56;61;47;Museu d'Art de Sabadell;1880-01-01T00:00:00Z;;;;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;;;;http://www.wikidata.org/entity/Q23955912
2375;Acadèmia (Museu d'Art Modern de Tarragona, inv 1288);Dibuix;José Nogué Massó;1288;1885;80;Museu d'Art Modern de Tarragona;1890-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24258420
2376;Acadèmia (Museu d'Art Modern de Tarragona, inv 1289);Dibuix;José Nogué Massó;1289;1035;715;Museu d'Art Modern de Tarragona;1890-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24258422
2377;Acadèmia (Museu d'Art Modern de Tarragona, inv 1290);Dibuix;José Nogué Massó;1290;65;33;Museu d'Art Modern de Tarragona;1890-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24258423
2378;Acadèmia (Museu d'Art Modern de Tarragona, inv 309);Dibuix;Josep Sancho Piqué;309;60;42;Museu d'Art Modern de Tarragona;1870-01-01T00:00:00Z;;;;Museu d'Art Modern de Tarragona;;;1.258440599 41.11721560;;;;;;;http://www.wikidata.org/entity/Q24568295
2379;Acadèmia d'home d'esquena;Dibuix;Antoni Estruch i Bros;234;36;24;Museu d'Art de Sabadell;1896-01-01T00:00:00Z;;;;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;;;;http://www.wikidata.org/entity/Q23952011
2380;Acadèmia d'home estirat;Dibuix;Josep Domènech Samaranch;2178;53;93;Museu d'Art de Sabadell;1897-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Josep%20Dom%C3%A8nech%20Samaranch%20Acad%C3%A8mia%202178.jpg;;;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;;;;http://www.wikidata.org/entity/Q23952019
2381;Acadèmia de dona d'esquena;Dibuix;Antoni Estruch i Bros;235;36;24;Museu d'Art de Sabadell;1890-01-01T00:00:00Z;;;;Museu d'Art de Sabadell;;;2.109420600 41.54884620;;;;;;;http://www.wikidata.org/entity/Q23955914
