Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3614;Q26567450;Escultura;anònim;;;;;;http://commons.wikimedia.org/wiki/Special:FilePath/Little%20Nell%2C%20Hyde%20Park.JPG;;;;;;Point(-0.155384 51.505445);;immoble registrat grau II;;;;Ciutat de Westminster;http://www.wikidata.org/entity/Q26567450
3615;A Charles Deering;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Miami;http://www.wikidata.org/entity/Q26835792
3616;A Jeroni Estades;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Sóller;http://www.wikidata.org/entity/Q26835796
3617;A Lluís Millet i l'Orfeó Català;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835803
3618;A Sarah Bernhardt;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835807
3619;A Toribi Duran;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835810
3620;A la memòria de Antonio López i Luisa Bru;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835800
3621;A una benefectora de la infància;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835814
3622;A Àngel Guimerà;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835788
3623;Adolescent 176;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Cerdanyola del Vallès;http://www.wikidata.org/entity/Q26835823
3624;Adolescent 176a;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835824
3625;Adolescent 176b;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835818
3626;Adolescent 176c;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Madrid;http://www.wikidata.org/entity/Q26835822
3627;Adolescent 176d;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835819
3628;Adolescent 176e;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835821
3629;Adolescent 176f;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835826
3630;Adolescent 176g;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835817
3631;Aguila (Museu d'Art Modern de Tarragona, inv 3661);Escultura;Josep Pujol Montané;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q24258373
3632;Al Cardenal Casañas;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835827
3633;Al Mestre Antoni Nicolau;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835828
3634;Als Màrtirs de la Independència;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Barcelona;http://www.wikidata.org/entity/Q26835830
3635;Altar de Sant Fèlix;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;Vilafranca del Penedès;http://www.wikidata.org/entity/Q26835833
3636;Altar de la Capella del Sagrat Cor;Escultura;Josep Llimona i Bruguera;;;;;;;;;;;;;;;;;;;http://www.wikidata.org/entity/Q26835831
