Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
10751;(Il·legible) V.Fritz Frismmann;Estampa;Willi Geiger;161407-G;105;83;Secció de Gravats (MNAC);1904;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27564192
10752;(il·legible);Estampa;;160874-G;122;9;Secció de Gravats (MNAC);1897;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27567069
10753;2 gravats Francesc Pi i Margall;Estampa;Joaquim Furnó i Abad;010482-CJT;274;196;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557448
10754;2 gravats de El Bon Pastor;Estampa;Josep Coromina;003683-CJT;245;154;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27558300
10755;2 gravats de Josep Soler del Olmo;Estampa;Josep Coromina;003681-CJT;135;84;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27558288
10756;2 gravats de Nostra Senyora de la Antigua;Estampa;Tomàs Padró i Pedret;000994-CJT;28;183;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557351
10757;2 gravats de Portada: Figura femenina, símbol de la ciutat de Barcelona;Estampa;Joaquim Furnó i Abad;010492-CJT;25;182;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557381
10758;2 gravats de Retrat de Joan Antoni Pagés. Poeta i assagista;Estampa;Àngel Fatjó i Bartra;010460-CJT;188;136;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557656
10759;2 gravats de Santa Catalina de Sena;Estampa;Bartolomé Esteban Murillo;008210-CJT;25;206;Secció de Gravats (MNAC);1900;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27559581
10760;3 gravats de Les tres gràcies;Estampa;Francesc Xavier Nogués i Casas;001919-CJT;21;165;Secció de Gravats (MNAC);1912;;;Museu Nacional d'Art de Catalunya;Secció de Gravats (MNAC);;;;;;;;;;http://www.wikidata.org/entity/Q27557186
