Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
14933;1a. Exposició Internacional d'Automobilisme i esports;Medalles;;081350-N;;;Gabinet Numismàtic de Catalunya (MNAC);1907;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524345
14934;1r Congrés Espanyol Internacional de Tuberculosi;Medalles;Antoni Alsina i Amils;052226-N;;;Gabinet Numismàtic de Catalunya (MNAC);1910;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27522825
14935;1r Congrés Espanyol Internacional de Tuberculosi (Museu Nacional d'Art de Catalunya, inv 052225-N);Medalles;Antoni Alsina i Amils;052225-N;;;Gabinet Numismàtic de Catalunya (MNAC);1910;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524086
14936;1r Congrés Eucarístic Nacional. València;Medalles;Fàbrica de medalles Castells;062649-N;;;Gabinet Numismàtic de Catalunya (MNAC);1893;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523004
14937;1r Congrés catòlic nacional de Madrid;Medalles;anònim;052294-N;;;Gabinet Numismàtic de Catalunya (MNAC);1889;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524107
14938;1r Congrés catòlic nacional de Madrid (Museu Nacional d'Art de Catalunya, inv 052295-N);Medalles;anònim;052295-N;;;Gabinet Numismàtic de Catalunya (MNAC);1889;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524110
14939;1r Congrés de Naturalistes Espanyols;Medalles;;055479-N;;;Gabinet Numismàtic de Catalunya (MNAC);1908;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27522727
14940;1r Congrés espanyol d'higiene escolar;Medalles;;055597-N;;;Gabinet Numismàtic de Catalunya (MNAC);1912;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524002
14941;1r Congrés espanyol d'higiene escolar (Museu Nacional d'Art de Catalunya, inv 055598-N);Medalles;;055598-N;;;Gabinet Numismàtic de Catalunya (MNAC);1912;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524005
14942;1r festival infantil a Madrid;Medalles;;055476-N;;;Gabinet Numismàtic de Catalunya (MNAC);1888;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524027
14943;1r festival infantil a Madrid (Museu Nacional d'Art de Catalunya, inv 055477-N);Medalles;;055477-N;;;Gabinet Numismàtic de Catalunya (MNAC);1888;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524030
14944;25è aniversari de la reina mare Emma;Medalles;Johann Cornelius Wienecke;092159-N;50;40;Gabinet Numismàtic de Catalunya (MNAC);1902;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27520687
14945;25è aniversari de les noces de Jbr. Mr. E.W.Berg i A.A.Lenting;Medalles;Johann Cornelius Wienecke;092160-N;51;42;Gabinet Numismàtic de Catalunya (MNAC);1905;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27520750
14946;2n Centenari de Calderón de la Barca. Diputació Provincial de Sevilla;Medalles;;052002-N;;;Gabinet Numismàtic de Catalunya (MNAC);1881;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523815
14947;2n Centenari de Calderón de la Barca. Premi al mèrit de la Universitat Central;Medalles;;052001-N;;;Gabinet Numismàtic de Catalunya (MNAC);1881;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523588
14948;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar;Medalles;Fàbrica de medalles Castells;034696-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523703
14949;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 034695-N);Medalles;Fàbrica de medalles Castells;034695-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524370
14950;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 055758-N);Medalles;Fàbrica de medalles Castells;055758-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523707
14951;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 055759-N);Medalles;Fàbrica de medalles Castells;055759-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523710
14952;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 055760-N);Medalles;Fàbrica de medalles Castells;055760-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524332
14953;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 055761-N);Medalles;Fàbrica de medalles Castells;055761-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524335
14954;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 055762-N);Medalles;Fàbrica de medalles Castells;055762-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27524338
14955;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 055763-N);Medalles;Fàbrica de medalles Castells;055763-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523714
14956;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 055764-N);Medalles;Fàbrica de medalles Castells;055764-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523718
14957;2n Centenari de la fundació de les 40 hs. de Sta. Mª del Mar (Museu Nacional d'Art de Catalunya, inv 055765-N);Medalles;Fàbrica de medalles Castells;055765-N;;;Gabinet Numismàtic de Catalunya (MNAC);1882;;;Museu Nacional d'Art de Catalunya;Gabinet Numismàtic de Catalunya (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27523723
