Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
3457;Cos de vestit del Museu de la Marina;Top;Anonimat;2;;;Museu de la Marina;1890;;;;Museu de la Marina;;162CV;2.389374599 41.507239;;;;;;;http://www.wikidata.org/entity/Q23971341
3458;"Cos de vestit del Museu d'Història de Sabadell	";Top;Francisca Vila de Coll;5312;;;Museu d'Història de Sabadell;1885;;;;Museu d'Història de Sabadell;;118CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23971335
3459;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;8;;;Museu Comarcal de l'Urgell;1890;;;;Museu Comarcal de l'Urgell;;193CV;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23971327
3460;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;15213;;;Centre de Documentació i Museu Tèxtil;1900;;;;Centre de Documentació i Museu Tèxtil;;247CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906685
3461;"Cos de vestit del Museu Etnogràfic de Ripoll	";Top;Anonimat;3566;;;Museu Etnogràfic de Ripoll;1890;;;;Museu Etnogràfic de Ripoll;;158CV;2.189442999 42.2011585;;;;;;;http://www.wikidata.org/entity/Q23906684
3462;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;F. Casas de Puig;10802/1;;;Centre de Documentació i Museu Tèxtil;1900;;;;Centre de Documentació i Museu Tèxtil;;241CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906683
3463;"Cos de vestit del Museu de Granollers	";Top;Anonimat;5819;;;Museu de Granollers;1840;;;;Museu de Granollers;;008CV;2.288442700 41.606948;;;;;;;http://www.wikidata.org/entity/Q23906682
3464;"Cos de vestit del Museu Episcopal de Vic	";Top;Anonimat;17435;;;Museu Episcopal de Vic;1860;;;;Museu Episcopal de Vic;;057CV;2.255946999 41.928684;;;;;;;http://www.wikidata.org/entity/Q23906680
3465;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5286;;;Museu d'Història de Sabadell;1908;;;;Museu d'Història de Sabadell;;286CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906676
3466;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Mar___a Sanjuan;11464/1;;;Centre de Documentació i Museu Tèxtil;1906;;;;Centre de Documentació i Museu Tèxtil;;243CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906675
3467;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Maria Molist Bartres;18370;;;Centre de Documentació i Museu Tèxtil;1905;;;;Centre de Documentació i Museu Tèxtil;;248CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906673
3468;"Cos de vestit del Museu Marès de la Punta	";Top;Anonimat;10107;;;Museu d'Arenys de Mar;1900;;;;Museu d'Arenys de Mar;;166CV;2.548720000 41.58133;;;;;;;http://www.wikidata.org/entity/Q23906667
3469;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;11913/1;;;Centre de Documentació i Museu Tèxtil;1895;;;;Centre de Documentació i Museu Tèxtil;;181CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906666
3470;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5306;;;Museu d'Història de Sabadell;1881;;;;Museu d'Història de Sabadell;;113CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906662
3471;"Cos de vestit del Museu-Arxiu Tomàs Balvey	";Top;Anonimat;2982;;;Museu-Arxiu Tomàs Balvey de Cardedeu;1875;;;;Museu-Arxiu Tomàs Balvey de Cardedeu;;100CV;2.354775000 41.637953;;;;;;;http://www.wikidata.org/entity/Q23906657
3472;"Cos de vestit del Museu Episcopal de Vic	";Top;Anonimat;13395;;;Museu Episcopal de Vic;1869;;;;Museu Episcopal de Vic;;053CV;2.255946999 41.928684;;;;;;;http://www.wikidata.org/entity/Q23906655
3473;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;4594/1;;;Museu d'Història de Sabadell;1845;;;;Museu d'Història de Sabadell;;023CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906653
3474;"Cos de vestit del Museu d'Història de Sabadell	";Top;Anonimat;5121;;;Museu d'Història de Sabadell;1850;;;;Museu d'Història de Sabadell;;022CV;2.107777778 41.548056;;;;;;;http://www.wikidata.org/entity/Q23906651
3475;"Cos de vestit del Museu Comarcal de la Garrotxa	";Top;Anonimat;6122;;;Museu de la Garrotxa;1900;;;;Museu de la Garrotxa;;239CV;2.489343999 42.181371;;;;;;;http://www.wikidata.org/entity/Q23906649
3476;"Cos de vestit del Museu Comarcal de la Garrotxa	";Top;Anonimat;6465;;;Museu de la Garrotxa;1890;;;;Museu de la Garrotxa;;176CV;2.489343999 42.181371;;;;;;;http://www.wikidata.org/entity/Q23906648
3477;"Cos de vestit del Museu Comarcal de l'Urgell	";Top;Anonimat;9;;;Museu Comarcal de l'Urgell;1910;;;;Museu Comarcal de l'Urgell;;304V;1.139297100 41.645901;;;;;;;http://www.wikidata.org/entity/Q23906647
3478;"Cos de vestit del Centre de Documentació i Museu Tèxtil	";Top;Anonimat;15212;;;Centre de Documentació i Museu Tèxtil;1890;;;;Centre de Documentació i Museu Tèxtil;;182CV;2.019363999 41.565188;;;;;;;http://www.wikidata.org/entity/Q23906646
3479;"Cos de vestit del Museu Marès de la Punta	";Top;Anonimat;10108;;;Museu d'Arenys de Mar;1890;;;;Museu d'Arenys de Mar;;167CV;2.548720000 41.58133;;;;;;;http://www.wikidata.org/entity/Q23906642
