Nid;Títol;Tipus;Autor;Num. Inventari;Alçada;Amplada;Col·lecció;Inici;Imatge;Subjecte representat;Localització;Col·lecció;Carrer;Codi catàleg;Coordenades;Diócesis;Estatus;Gènere;Material utilitzat;Part de;Població;Wikilink
1792;Bust de nena;Pintura;Joan Brull i Vinyoles;1686;412;318;Biblioteca Museu Víctor Balaguer;1912-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Bust%20de%20nena%20-%20Joan%20Brull%20Vinyoles%20-%20Llegat%2056%20-%201686.jpg;;;Biblioteca Museu Víctor Balaguer;;;1.729429999 41.6221353;;;retrat;;;;http://www.wikidata.org/entity/Q19162526
2248;La Vídua;Pintura;Ramon Casas i Carbó;2083;;;Biblioteca Museu Víctor Balaguer;1890;https://upload.wikimedia.org/wikipedia/commons/0/08/Ramon_Casas-_La_Vidua-_Biblioteca_Museu_V%C3%AFctor_Balaguer.jpg;;;Biblioteca Museu Víctor Balaguer;;;1.729429999 41.6221353;;;;;;;https://www.wikidata.org/wiki/Q18719543
2251;Montmartre (Ramon Casas);Pintura;Ramon Casas i Carbó;1651;;;Biblioteca Museu Víctor Balaguer;1899;https://upload.wikimedia.org/wikipedia/commons/a/a0/Ramon_Casas-_Montmartre-BMVB.jpg;;;Biblioteca Museu Víctor Balaguer;;;1.729429999 41.6221353;;;paisatge;;;;https://www.wikidata.org/wiki/Q11937478
1804;Cap de nena;Pintura;Laureà Barrau i Buñol;126;40;30;Casa Masó;1900-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Mas%C3%B3%20inv.%20126.1.jpg;;;Casa Masó;;;2.824789699 41.9860456;;;retrat;;;;http://www.wikidata.org/entity/Q23015840
1820;Carrer;Pintura;anònim;48;30;22;Casa Masó;1870-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Mas%C3%B3%20inv.%20048.jpg;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015831
1822;Carrer al sol;Pintura;Baldomer Gili i Roig;133;28;22;Casa Masó;1900-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Mas%C3%B3%20inv.%20133.1.jpg;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015842
1823;Carrer de poble;Pintura;anònim;46;68;52;Casa Masó;1870-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Mas%C3%B3%20inv.%20046.1.jpg;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015829
1922;Home amb bous;Pintura;Guillem Roca i Sanpere;125;60;109;Casa Masó;1890-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Mas%C3%B3%20inv.%20125.1.jpg;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015839
1971;Marina;Pintura;anònim;47;69;100;Casa Masó;1870-01-01T00:00:00Z;;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015830
1972;Marina;Pintura;anònim;57;25;15;Casa Masó;1870-01-01T00:00:00Z;;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015833
1988;Masia amb pou;Pintura;anònim;49;30;22;Casa Masó;1870-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Casa%20Mas%C3%B3%20inv.%20049.1.jpg;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015832
2066;Paisatge al capvespre;Pintura;Modest Urgell i Inglada;128;37;55;Casa Masó;1880-01-01T00:00:00Z;;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015841
2073;Paisatge campestre;Pintura;anònim;65;22;29;Casa Masó;1870-01-01T00:00:00Z;;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015834
2081;Paisatge rural;Pintura;anònim;45;63;1065;Casa Masó;1870-01-01T00:00:00Z;;;;Casa Masó;;;2.824789699 41.9860456;;;paisatge;;;;http://www.wikidata.org/entity/Q23015828
2132;Retrat d'una dona jove;Pintura;Joan Brull i Vinyoles;137;40;32;Casa Masó;1890-01-01T00:00:00Z;;;;Casa Masó;;;2.824789699 41.9860456;;;retrat;;;;http://www.wikidata.org/entity/Q23015844
1777;Bal du Moulin de la Galette;Pintura;Ramon Casas i Carbó;32.03;100;814;Cau Ferrat;1890-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Bal%20du%20Moulin%20de%20la%20Galette.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;pintura de gènere;;;;http://www.wikidata.org/entity/Q8240370
1790;Boulevar de París;Pintura;Ramon Pichot i Gironès;32.01;675;54;Cau Ferrat;1898-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Pichot%20-%20Bulevard%20de%20Par%C3%ADs.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;paisatge;;;;http://www.wikidata.org/entity/Q24048955
1834;Cementiri de Montmatre;Pintura;Santiago Rusiñol i Prats;30.78;98;71;Cau Ferrat;1891-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Santiago%20Rusinol%20Cimeti%C3%A8re%20de%20Montmartre.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;paisatge;;;;http://www.wikidata.org/entity/Q24048966
1848;Còpia d'El Cavaller de la mà al pit, El Greco;Pintura;Santiago Rusiñol i Prats;32.04;85;64;Cau Ferrat;1897-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049197
1853;Dijous Sant a Pollença;Pintura;Santiago Rusiñol i Prats;30.27;725;98;Cau Ferrat;1902-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Rusi%C3%B1ol%20-%20Dijous%20Sant%20a%20Pollen%C3%A7a.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;paisatge;;;;http://www.wikidata.org/entity/Q24049232
1872;El Parc del Moulin de la Galette/Pati de Montmartre;Pintura;Santiago Rusiñol i Prats;30.81;60;49;Cau Ferrat;1891-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;paisatge;;;;http://www.wikidata.org/entity/Q24049227
1896;Fantasmagoria/Dona nua, evolucionant a calavera i serp;Pintura;Odilon Redon;30.81;395;305;Cau Ferrat;1890-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;Al·legoria;;;;http://www.wikidata.org/entity/Q24049171
1945;La carta;Pintura;Joan Llimona i Bruguera;30.76;383;24;Cau Ferrat;1900-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049029
1949;La darrera recepta;Pintura;Santiago Rusiñol i Prats;32.03;815;647;Cau Ferrat;1890-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;pintura de gènere;;;;http://www.wikidata.org/entity/Q24049196
1954;La nena de la clavellina;Pintura;Santiago Rusiñol i Prats;30.81;153;71;Cau Ferrat;1893-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q19300766
2005;Nit de vetlla;Pintura;Santiago Rusiñol i Prats;32.04;81;53;Cau Ferrat;1890-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Santiago%20Rusi%C3%B1ol%20-%20Nit%20de%20vetlla%20%28Enric%20Claras%C3%B3%20llegint%29.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049204
2006;Nocturn parisenc/Escena nocturna a París;Pintura;Hermen Anglada i Camarasa;30.71;25;34;Cau Ferrat;1900-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;pintura de gènere;;;;http://www.wikidata.org/entity/Q24049178
2028;Nu femení amb fons enjardinat;Pintura;Ramon Casas i Carbó;30.27;51;615;Cau Ferrat;1894-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049044
2029;Nu femení amb guitarra;Pintura;Ramon Casas i Carbó;30.27;465;566;Cau Ferrat;1894-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Ramon%20Casas%20-%20nu%20femen%C3%AD%20amb%20guitarra.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049036
2032;Paisatge;Pintura;Darío de Regoyos;30.76;273;186;Cau Ferrat;1900-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;paisatge;;;;http://www.wikidata.org/entity/Q24049231
2085;Palau abandonat;Pintura;Santiago Rusiñol i Prats;30.78;123;116;Cau Ferrat;1898-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;paisatge;;;;http://www.wikidata.org/entity/Q24049226
2088;Papallones de nit/Escena de restaurant nocturn a París;Pintura;Hermen Anglada i Camarasa;30.67;24;355;Cau Ferrat;1900-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;pintura de gènere;;;;http://www.wikidata.org/entity/Q24049182
2090;Pati de Sitges;Pintura;Santiago Rusiñol i Prats;30.28;775;625;Cau Ferrat;1892-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;paisatge;;;;http://www.wikidata.org/entity/Q24049229
2120;Ramon Canudas, malalt;Pintura;Santiago Rusiñol i Prats;30.76;165;258;Cau Ferrat;1892-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Rusi%C3%B1ol%20-%20Ramon%20Canudas%20malalt.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049233
2124;Retrat d'Utrillo davant l'estufa;Pintura;Santiago Rusiñol i Prats;32.04;65;455;Cau Ferrat;1890-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Rusi%C3%B1ol%20-%20Utrillo%20escalfant-se.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049222
2141;Retrat de Santiago Rusiñol sobre un llum;Pintura;Ramon Casas i Carbó;32.01;200;100;Cau Ferrat;1895-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Retrat%20de%20Santiago%20Rusi%C3%B1ol%20al%20damunt%20d%27una%20l%C3%A0mpada.png;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049239
2145;Retrat de l'escultor Carles Mani;Pintura;Santiago Rusiñol i Prats;32.01;585;68;Cau Ferrat;1895-01-01T00:00:00Z;;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24048962
2151;Retrat del gravador Ramon Canudas;Pintura;Santiago Rusiñol i Prats;30.86;81;645;Cau Ferrat;1892-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Rusi%C3%B1ol%20-%20retrat%20de%20Canudas.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;retrat;;;;http://www.wikidata.org/entity/Q24049234
2222;Vista de l'absis de Nôtre Dame de París, sota la neu;Pintura;Miquel Utrillo i Morlius;30.81;41;325;Cau Ferrat;1890-01-01T00:00:00Z;http://commons.wikimedia.org/wiki/Special:FilePath/Miquel%20Utrillo%20-%20Vista%20de%20l%27absis%20de%20Notre%20Dame%20de%20Par%C3%ADs%2C%20sota%20la%20neu.jpg;;;Cau Ferrat;;;1.812771600 41.2350726;;;paisatge;;;;http://www.wikidata.org/entity/Q24049225
2244;Jaume Borràs en Manelic;Pintura;;;;;Centre de Documentació i Museu de les Arts Escèniques;;https://upload.wikimedia.org/wikipedia/commons/4/4c/Jaume_Borr%C3%A0s_en_Manelic_Angel_Guimera_de_Ramon_Casas-MAE-75667.jpeg;;;Centre de Documentació i Museu de les Arts Escèniques;;;2.157304100 41.3715047;;;retrat pictòric;;;;https://www.wikidata.org/wiki/Q9011078
2232; A la platja ;Pintura;Francisco Miralles Galup;;;;Cercle del Liceu;;https://upload.wikimedia.org/wikipedia/commons/a/ad/Francesc_Miralles_-_A_la_platja.JPG;;;Cercle del Liceu;;;2.173254899 41.3809054;;;;;;;https://www.wikidata.org/wiki/Q24265867
2233; Al jardí ;Pintura;Francisco Miralles Galup;;;;Cercle del Liceu;;https://upload.wikimedia.org/wikipedia/commons/1/1a/Francesc_Miralles_-_Al_jard%C3%AD.JPG;;;Cercle del Liceu;;;2.173254899 41.3809054;;;;Oli;;;https://www.wikidata.org/wiki/Q24265851
2237;Ball de tarda;Pintura;Ramon Casas i Carbó;;170±1;230±1 ;Cercle del Liceu;1896;;ball;;Cercle del Liceu;;;2.173254899 41.3809054;;;;;;;https://www.wikidata.org/wiki/Q11680123
2247;La Sargantain;Pintura;Ramon Casas i Carbó;;91±1;63±1 ;Cercle del Liceu;1907;;;;Cercle del Liceu;;;2.173254899 41.3809054;;;;;;;https://www.wikidata.org/wiki/Q9018943
4195;A casa del ferrer;Pintura;;024651-000;;;Col·lecció d'Art Modern (MNAC);1898-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27509653
4196;A l'església;Pintura;Christoffel Bisschop;011164-000;;;Col·lecció d'Art Modern (MNAC);1898-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510837
4197;A la Victòria de Samotràcia;Pintura;Josep Maria Xiró Taltabull;011038-000;;;Col·lecció d'Art Modern (MNAC);1914-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511175
4198;A la biblioteca;Pintura;;011286-000;;;Col·lecció d'Art Modern (MNAC);1870-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27508942
4199;A la fira;Pintura;Joaquim Agrasot Juan;049490-000;;;Col·lecció d'Art Modern (MNAC);1898-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510634
4200;A la platja. Maternitat;Pintura;Joaquim Sunyer i de Miró;003831-000;;;Col·lecció d'Art Modern (MNAC);1908-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511061
4201;A ple sol;Pintura;Agapit Casas Abarca;010996-000;;;Col·lecció d'Art Modern (MNAC);1901-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511001
4202;A plena llum;Pintura;Q3638430;011110-000;;;Col·lecció d'Art Modern (MNAC);1911-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511032
4203;A primera hora del mercat;Pintura;Ricard Urgell i Carreras;010932-000;;;Col·lecció d'Art Modern (MNAC);1907-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511111
4204;Abans del ball;Pintura;Francesc Masriera i Manovens;042364-000;;;Col·lecció d'Art Modern (MNAC);1886-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27572742
4205;Abatiment;Pintura;Isidre Nonell i Monturiol;200714-000;;;Col·lecció d'Art Modern (MNAC);1905-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510855
4206;Abeurant;Pintura;Josep Armet i Portanell;010565-000;;;Col·lecció d'Art Modern (MNAC);1850-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510636
4207;Acadèmia;Pintura;anònim;121750-000;;;Col·lecció d'Art Modern (MNAC);1884-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510617
4208;Acadèmia Artística Lliure de Barcelona;Pintura;Isidre Nonell i Monturiol;071492-000;;;Col·lecció d'Art Modern (MNAC);1894-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27572023
4209;Adormint-se;Pintura;Isidre Nonell i Monturiol;004648-000;;;Col·lecció d'Art Modern (MNAC);1904-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27576307
4210;Aigua adormida (apunt);Pintura;Joaquim Vayreda i Vila;010595-000;;;Col·lecció d'Art Modern (MNAC);;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511134
4211;Al bar;Pintura;Ricard Canals i Llambí;010943-000;;;Col·lecció d'Art Modern (MNAC);1910-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510951
4212;Al costat de l'estufa;Pintura;Manuel Cusí i Ferret;010791-000;;;Col·lecció d'Art Modern (MNAC);1896-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510893
4213;Al costat del llit de mort de la mare;Pintura;Theodor Hummel;011170-000;;;Col·lecció d'Art Modern (MNAC);1890-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27512940
4214;Al jardí;Pintura;Josep Benlliure i Gil;011088-000;;;Col·lecció d'Art Modern (MNAC);1880-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510708
4215;Al marge del camí;Pintura;Q733002;011179-000;;;Col·lecció d'Art Modern (MNAC);1910-08-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511029
4216;Alba;Pintura;Q3617111;011137-000;;;Col·lecció d'Art Modern (MNAC);1890-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27576816
4217;Albada;Pintura;Manuel Urgellès i Trias;040451-000;;;Col·lecció d'Art Modern (MNAC);1890-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27509577
4218;Alt Llobregat;Pintura;Marià Pidelaserra i Brias;004073-000;;;Col·lecció d'Art Modern (MNAC);1914-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27512951
4220;Al·legoria de l'Exposició Universal de 1888;Pintura;Dionís Baixeras i Verdaguer;044340-000;;;Col·lecció d'Art Modern (MNAC);1888-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510736
4221;Al·legoria de l'Exposició Universal de 1888 (Museu Nacional d'Art de Catalunya, inv 044341-000);Pintura;Dionís Baixeras i Verdaguer;044341-000;;;Col·lecció d'Art Modern (MNAC);1888-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27510752
4222;Al·legoria de la Primera Guerra Mundial;Pintura;Ismael Smith;050091-000;;;Col·lecció d'Art Modern (MNAC);1914-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27511044
4223;Al·legoria del doctor Robert;Pintura;Aleix Clapés i Puig;011214-000;;;Col·lecció d'Art Modern (MNAC);1890-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27575773
4224;Al·legoria del doctor Robert (Museu Nacional d'Art de Catalunya, inv 011214-000);Pintura;Aleix Clapés i Puig;011214-000;;;Col·lecció d'Art Modern (MNAC);1890-01-01T00:00:00Z;;;;Col·lecció d'Art Modern (MNAC);;;2.153333333 41.36833333;;;;;;;http://www.wikidata.org/entity/Q27575776
