Nid;T°tol;Tipus;Autor;Num. Inventari;Aláada;Amplada;Col∑lecciÛ;Inici;Imatge;Subjecte representat;Localitzaci¢;Col˙lecci¢;Carrer;Codi catÖleg;Coordenades;Di¢cesis;Estatus;Gänere;Material utilitzat;Part de;Poblaci¢;Wikilink
2259;El capvespre dels DÇus;Vitrall;;;;;Cercle del Liceu;;;;;Cercle del Liceu;;;2.173254899 41.3809054;;;;;;;http://www.wikidata.org/entity/Q24265581
2261;L'or del Rin;Vitrall;;;;;Cercle del Liceu;;;;;Cercle del Liceu;;;2.173254899 41.3809054;;;;;;Barcelona;http://www.wikidata.org/entity/Q24265529
2262;La Valqu°ria;Vitrall;;;;;Cercle del Liceu;;;;;Cercle del Liceu;;;2.173254899 41.3809054;;;;;;Barcelona;http://www.wikidata.org/entity/Q24265504
2263;Sigfrid;Vitrall;;;;;Cercle del Liceu;;;;;Cercle del Liceu;;;2.173254899 41.3809054;;;;;;;http://www.wikidata.org/entity/Q24265561
2256;Dames de la tulipa (Museu d'Art de Cerdanyola, inv MAC 122);Vitrall;;MAC 122;;;Museu d'Art de Cerdanyola;1900;;;;Museu d'Art de Cerdanyola;;;2.138978999 41.491266;;;;;;;http://www.wikidata.org/entity/Q24590828
2257;Dames del gronxador (Museu d'Art de Cerdanyola, inv MAC 120);Vitrall;;MAC 120;;;Museu d'Art de Cerdanyola;1900;;;;Museu d'Art de Cerdanyola;;;2.138978999 41.491266;;;;;;;http://www.wikidata.org/entity/Q24590907
2258;Dames del llac/ Dames del cigne (Museu d'Art de Cerdanyola, inv MAC 121);Vitrall;;MAC 121;;;Museu d'Art de Cerdanyola;1900;;;;Museu d'Art de Cerdanyola;;;2.138978999 41.491266;;;;;;;http://www.wikidata.org/entity/Q24590922
2260;Finestral de la Torre L¢pez (Museu d'Art de Cerdanyola, inv MAC 124);Vitrall;Eduard Maria Balcells i Buãgas;MAC 124;;;Museu d'Art de Cerdanyola;1900;;;;Museu d'Art de Cerdanyola;;;2.138978999 41.491266;;;;;;;http://www.wikidata.org/entity/Q24590875
2264;Vidriera de la Torre L¢pez (Paons) (Museu d'Art de Cerdanyola, inv MAC 123);Vitrall;Eduard Maria Balcells i Buãgas;MAC 123;;;Museu d'Art de Cerdanyola;1900;;;;Museu d'Art de Cerdanyola;;;2.138978999 41.491266;;;;;;;http://www.wikidata.org/entity/Q24590861
2267;vitrall (Museu d'Art de Cerdanyola, inv MAC 126);Vitrall;Eduard Maria Balcells i Buãgas;MAC 126;;;Museu d'Art de Cerdanyola;1900;;;;Museu d'Art de Cerdanyola;;;2.138978999 41.491266;;;;;;;http://www.wikidata.org/entity/Q24590891
2268;vitrall (Museu d'Art de Cerdanyola, inv MAC 476);Vitrall;anïnim;MAC 476;;;Museu d'Art de Cerdanyola;1900;;;;Museu d'Art de Cerdanyola;;;2.138978999 41.491266;;;;;;;http://www.wikidata.org/entity/Q24590844
2265;Vitrall de la casa al carrer Mallorca, 219;Vitrall;;;;;;1890;;;;;carrer Mallorca, 219;;2,158869600 41.3912349;;;;;;Barcelona;http://www.wikidata.org/entity/Q23733737
2266;Vitrall de la casa del Carrer Iradier, 34;Vitrall;;;;;;1912;;;;;carrer Iradier, 34;;2.124249200 41.405758;;;;;;Barcelona;http://www.wikidata.org/entity/Q23733729
2269;vitrall de l'Academia de Ciencias y Artes de Barcelona;Vitrall;Antoni Rigalt i Blanch;;;;;1897;;;;;Rambla dels estudis 115;;2.170634000 41.3841634;;;;;Reial Acadämia de Ciäncies i Arts de Barcelona;;http://www.wikidata.org/entity/Q23732673
2270;vitrall de l'Antigua Casa Figueras;Vitrall;Antoni Ros i GÅell;;;;;1902;;;;;La Rambla, 83;;2.172725500 41.3814871;;;;;Antiga Casa Figueras;;http://www.wikidata.org/entity/Q23732705
